# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	1	5.1453226	0.1	0.024702785	0.52071146	4.556193	0.11271354	4.2340483	0.22076787	724.19808	17.915599	672.9938	35.090627
5	1	8.1547867	0.1	0.024702785	0.82527204	3.2846899	0.076019012	3.2573905	0.18203848	1564.9282	36.217815	1551.9219	86.728777
4	2	5.1453226	0.3	0.024702785	0.17357049	5.5544287	0.12444995	5.6544358	0.27096872	1935.2667	43.360687	1970.1111	94.410563
5	2	8.1547867	0.3	0.024702785	0.27509068	6.0714863	0.10335287	5.4609679	0.19113243	5862.2795	99.791612	5272.7979	184.54653
6	2	12.924466	0.3	0.024702785	0.43598935	2.6908078	0.054653297	2.5719808	0.12151338	7552.8966	153.40773	7219.3581	341.07899
7	2	20.483898	0.3	0.024702785	0.69099655	0.82017581	0.023967819	0.81851066	0.055790432	6957.9792	203.33151	6943.8529	473.29934
4	3	5.1453226	0.5	0.024702785	0.10414229	5.7133656	0.12621793	5.486373	0.24733706	3097.6522	68.432385	2974.5822	134.10033
5	3	8.1547867	0.5	0.024702785	0.16505441	4.8311508	0.092193505	4.5329537	0.18471551	6988.1954	133.35668	6556.8572	267.18852
6	3	12.924466	0.5	0.024702785	0.26159361	1.8171833	0.044913241	1.8083566	0.097415443	7251.5741	179.22886	7216.3505	388.74191
7	3	20.483898	0.5	0.024702785	0.41459793	0.70250755	0.022181991	0.67435533	0.048879582	8104.0861	255.89016	7779.3238	563.87201
8	3	32.464791	0.5	0.024702785	0.65709344	0.24482729	0.010401715	0.23700859	0.026536589	8523.3419	362.1221	8251.1441	923.83666
4	4	5.1453226	0.7	0.024702785	0.074387351	5.230978	0.12077206	5.2782259	0.23716305	3854.6598	88.995827	3889.4764	174.76328
5	4	8.1547867	0.7	0.024702785	0.11789601	4.9982882	0.093774699	4.6771495	0.17748256	9660.9969	181.25347	9040.2804	343.04914
6	4	12.924466	0.7	0.024702785	0.18685258	1.7838812	0.044499794	1.5232073	0.081269375	9270.4408	231.2557	7915.7751	422.33917
7	4	20.483898	0.7	0.024702785	0.29614138	0.57083116	0.019995343	0.58963758	0.045036252	8277.592	289.9514	8550.303	653.06828
8	4	32.464791	0.7	0.024702785	0.46935245	0.22935986	0.010067781	0.21179328	0.022113793	9748.281	427.90204	9001.6641	939.88316
9	4	51.453226	0.7	0.024702785	0.74387351	0.071103379	0.0044526663	0.064271878	0.0097496561	9129.6549	571.72117	8252.492	1251.8532
4	5	5.1453226	0.9	0.024702785	0.057856828	2.6182774	0.085444253	2.4115804	0.14516351	2440.063	79.628446	2247.4349	135.28288
5	5	8.1547867	0.9	0.024702785	0.091696894	2.9943986	0.072582152	3.1051123	0.14343227	7250.1403	175.73839	7518.2039	347.28311
6	5	12.924466	0.9	0.024702785	0.14532978	1.4264389	0.039792537	1.3952668	0.073802898	9149.4386	255.23656	8949.4949	473.3852
7	5	20.483898	0.9	0.024702785	0.23033218	0.54841815	0.019598866	0.57307843	0.040776821	9602.0928	343.1508	10033.862	713.94942
8	5	32.464791	0.9	0.024702785	0.36505191	0.21256665	0.0096922052	0.19106514	0.018221265	10609.413	483.74758	9536.2507	909.44144
9	5	51.453226	0.9	0.024702785	0.57856828	0.075007094	0.0045732632	0.0741918	0.0092949362	11204.847	683.17158	11083.055	1388.5132
10	5	81.547867	0.9	0.024702785	0.91696894	0.013195059	0.0015236341	0.0097291565	0.0028727945	5790.6941	668.65176	4269.6718	1260.7352
